,rank,team,avg,obp,year
0,1,Cincinnati Reds,0.273,0.32,1968
1,2,Boston Red Sox,0.236,0.313,1968
2,3,San Francisco Giants,0.239,0.307,1968
3,4,Detroit Tigers,0.235,0.307,1968
4,5,Atlanta Braves,0.252,0.307,1968
5,6,Pittsburgh Pirates,0.252,0.306,1968
6,7,Oakland Athletics,0.24,0.304,1968
7,8,Baltimore Orioles,0.225,0.304,1968
8,9,Minnesota Twins,0.237,0.299,1968
9,10,Houston Astros,0.231,0.298,1968
10,11,St. Louis Cardinals,0.249,0.298,1968
11,12,Chicago Cubs,0.242,0.298,1968
12,13,Philadelphia Phillies,0.233,0.294,1968
13,14,Cleveland Indians,0.234,0.293,1968
14,15,New York Yankees,0.214,0.292,1968
15,16,California Angels,0.227,0.291,1968
16,17,Los Angeles Dodgers,0.23,0.289,1968
17,18,Washington Senators,0.224,0.287,1968
18,19,Chicago White Sox,0.228,0.284,1968
19,20,New York Mets,0.228,0.281,1968
0,1,Baltimore Orioles,0.265,0.343,1969
1,2,Minnesota Twins,0.268,0.34,1969
2,3,Cincinnati Reds,0.277,0.335,1969
3,4,San Francisco Giants,0.242,0.334,1969
4,5,Pittsburgh Pirates,0.277,0.334,1969
5,6,Boston Red Sox,0.251,0.333,1969
6,7,Houston Astros,0.24,0.33,1969
7,8,Washington Senators,0.251,0.33,1969
8,9,Oakland Athletics,0.249,0.329,1969
9,10,Chicago Cubs,0.253,0.323,1969
10,11,Atlanta Braves,0.258,0.321,1969
11,12,Chicago White Sox,0.247,0.32,1969
12,13,St. Louis Cardinals,0.253,0.316,1969
13,14,Detroit Tigers,0.242,0.316,1969
14,15,Seattle Pilots,0.234,0.316,1969
15,16,Los Angeles Dodgers,0.254,0.315,1969
16,17,Philadelphia Phillies,0.241,0.312,1969
17,18,New York Mets,0.242,0.311,1969
18,19,Montreal Expos,0.24,0.31,1969
19,20,Kansas City Royals,0.24,0.309,1969
20,21,New York Yankees,0.235,0.308,1969
21,22,Cleveland Indians,0.237,0.307,1969
22,23,California Angels,0.23,0.3,1969
23,24,San Diego Padres,0.225,0.285,1969
0,1,San Francisco Giants,0.262,0.351,1970
1,2,Baltimore Orioles,0.257,0.344,1970
2,3,Cincinnati Reds,0.27,0.336,1970
3,4,Boston Red Sox,0.262,0.335,1970
4,5,Los Angeles Dodgers,0.27,0.334,1970
5,6,Atlanta Braves,0.27,0.334,1970
6,7,New York Mets,0.249,0.333,1970
7,8,Chicago Cubs,0.259,0.333,1970
8,9,Houston Astros,0.259,0.332,1970
9,10,St. Louis Cardinals,0.263,0.331,1970
10,11,Minnesota Twins,0.262,0.327,1970
11,12,Pittsburgh Pirates,0.27,0.325,1970
12,13,Oakland Athletics,0.249,0.325,1970
13,14,New York Yankees,0.251,0.324,1970
14,15,Montreal Expos,0.237,0.323,1970
15,16,Detroit Tigers,0.238,0.322,1970
16,17,Washington Senators,0.238,0.321,1970
17,18,Milwaukee Brewers,0.242,0.319,1970
18,19,Chicago White Sox,0.253,0.315,1970
19,20,Cleveland Indians,0.249,0.314,1970
20,21,San Diego Padres,0.246,0.312,1970
21,22,Kansas City Royals,0.244,0.309,1970
22,23,California Angels,0.251,0.309,1970
23,24,Philadelphia Phillies,0.238,0.305,1970
0,1,Baltimore Orioles,0.261,0.347,1971
1,2,St. Louis Cardinals,0.275,0.338,1971
2,3,Pittsburgh Pirates,0.274,0.33,1971
3,4,San Francisco Giants,0.247,0.329,1971
4,5,New York Yankees,0.254,0.328,1971
5,6,Los Angeles Dodgers,0.266,0.325,1971
6,7,Detroit Tigers,0.254,0.325,1971
7,8,Chicago Cubs,0.258,0.325,1971
8,9,Chicago White Sox,0.25,0.325,1971
9,10,Minnesota Twins,0.26,0.323,1971
10,11,Montreal Expos,0.246,0.322,1971
11,12,Boston Red Sox,0.252,0.322,1971
12,13,Oakland Athletics,0.252,0.321,1971
13,14,New York Mets,0.249,0.319,1971
14,15,Kansas City Royals,0.25,0.313,1971
15,16,Atlanta Braves,0.257,0.312,1971
16,17,Washington Senators,0.23,0.307,1971
17,18,Milwaukee Brewers,0.229,0.304,1971
18,19,Houston Astros,0.24,0.302,1971
19,20,Cleveland Indians,0.238,0.3,1971
20,21,Cincinnati Reds,0.241,0.3,1971
21,22,Philadelphia Phillies,0.233,0.298,1971
22,23,San Diego Padres,0.233,0.293,1971
23,24,California Angels,0.231,0.29,1971
0,1,Cincinnati Reds,0.251,0.33,1972
1,2,Chicago Cubs,0.257,0.33,1972
2,3,Atlanta Braves,0.258,0.328,1972
3,4,Kansas City Royals,0.255,0.327,1972
4,5,Houston Astros,0.258,0.326,1972
5,6,Pittsburgh Pirates,0.274,0.324,1972
6,7,Los Angeles Dodgers,0.256,0.319,1972
7,8,Boston Red Sox,0.248,0.318,1972
8,9,St. Louis Cardinals,0.26,0.317,1972
9,10,New York Yankees,0.249,0.316,1972
10,11,Chicago White Sox,0.238,0.31,1972
11,12,Minnesota Twins,0.244,0.31,1972
12,13,San Francisco Giants,0.244,0.309,1972
13,14,New York Mets,0.225,0.307,1972
14,15,Oakland Athletics,0.24,0.306,1972
15,16,Detroit Tigers,0.237,0.305,1972
16,17,Montreal Expos,0.234,0.303,1972
17,18,Baltimore Orioles,0.229,0.302,1972
18,19,Philadelphia Phillies,0.236,0.302,1972
19,20,Milwaukee Brewers,0.235,0.302,1972
20,21,Cleveland Indians,0.234,0.293,1972
21,22,California Angels,0.242,0.293,1972
22,23,Texas Rangers,0.217,0.29,1972
23,24,San Diego Padres,0.227,0.283,1972
0,1,Baltimore Orioles,0.266,0.345,1973
1,2,Minnesota Twins,0.27,0.342,1973
2,3,Montreal Expos,0.251,0.34,1973
3,4,Kansas City Royals,0.261,0.339,1973
4,5,Atlanta Braves,0.266,0.339,1973
5,6,Boston Red Sox,0.267,0.338,1973
6,7,San Francisco Giants,0.262,0.335,1973
7,8,Oakland Athletics,0.26,0.333,1973
8,9,Cincinnati Reds,0.254,0.332,1973
9,10,Milwaukee Brewers,0.253,0.325,1973
10,11,St. Louis Cardinals,0.259,0.325,1973
11,12,Chicago White Sox,0.256,0.324,1973
12,13,Los Angeles Dodgers,0.263,0.323,1973
13,14,New York Yankees,0.261,0.322,1973
14,15,Detroit Tigers,0.254,0.32,1973
15,16,Chicago Cubs,0.247,0.32,1973
16,17,California Angels,0.253,0.318,1973
17,18,Texas Rangers,0.255,0.318,1973
18,19,New York Mets,0.246,0.315,1973
19,20,Pittsburgh Pirates,0.261,0.315,1973
20,21,Cleveland Indians,0.256,0.315,1973
21,22,Houston Astros,0.251,0.312,1973
22,23,Philadelphia Phillies,0.249,0.31,1973
23,24,San Diego Padres,0.244,0.296,1973
0,1,Cincinnati Reds,0.26,0.343,1974
1,2,Los Angeles Dodgers,0.272,0.342,1974
2,3,Minnesota Twins,0.272,0.336,1974
3,4,Texas Rangers,0.272,0.336,1974
4,5,Montreal Expos,0.254,0.335,1974
5,6,Pittsburgh Pirates,0.274,0.335,1974
6,7,Boston Red Sox,0.264,0.333,1974
7,8,St. Louis Cardinals,0.265,0.331,1974
8,9,Chicago White Sox,0.268,0.33,1974
9,10,Kansas City Royals,0.259,0.327,1974
10,11,Chicago Cubs,0.251,0.327,1974
11,12,New York Yankees,0.263,0.324,1974
12,13,Baltimore Orioles,0.256,0.322,1974
13,14,San Francisco Giants,0.252,0.322,1974
14,15,Houston Astros,0.263,0.322,1974
15,16,California Angels,0.254,0.321,1974
16,17,Oakland Athletics,0.247,0.321,1974
17,18,Philadelphia Phillies,0.261,0.32,1974
18,19,Atlanta Braves,0.249,0.319,1974
19,20,New York Mets,0.235,0.311,1974
20,21,Cleveland Indians,0.255,0.311,1974
21,22,Milwaukee Brewers,0.244,0.309,1974
22,23,Detroit Tigers,0.247,0.303,1974
23,24,San Diego Padres,0.229,0.302,1974
0,1,Cincinnati Reds,0.271,0.353,1975
1,2,Boston Red Sox,0.275,0.344,1975
2,3,Philadelphia Phillies,0.269,0.342,1975
3,4,Minnesota Twins,0.271,0.341,1975
4,5,Chicago Cubs,0.259,0.338,1975
5,6,Oakland Athletics,0.254,0.333,1975
6,7,Kansas City Royals,0.261,0.333,1975
7,8,San Francisco Giants,0.259,0.333,1975
8,9,Chicago White Sox,0.255,0.331,1975
9,10,Texas Rangers,0.256,0.33,1975
10,11,St. Louis Cardinals,0.273,0.327,1975
11,12,Cleveland Indians,0.261,0.327,1975
12,13,Baltimore Orioles,0.252,0.326,1975
13,14,New York Yankees,0.264,0.325,1975
14,15,Los Angeles Dodgers,0.248,0.325,1975
15,16,Pittsburgh Pirates,0.263,0.323,1975
16,17,California Angels,0.246,0.322,1975
17,18,Milwaukee Brewers,0.25,0.32,1975
18,19,Houston Astros,0.254,0.32,1975
19,20,New York Mets,0.256,0.319,1975
20,21,Montreal Expos,0.244,0.317,1975
21,22,Atlanta Braves,0.244,0.313,1975
22,23,San Diego Padres,0.244,0.31,1975
23,24,Detroit Tigers,0.249,0.301,1975
0,1,Cincinnati Reds,0.28,0.357,1976
1,2,Minnesota Twins,0.274,0.341,1976
2,3,Philadelphia Phillies,0.272,0.338,1976
3,4,New York Yankees,0.269,0.328,1976
4,5,Kansas City Royals,0.269,0.327,1976
5,6,Boston Red Sox,0.263,0.324,1976
6,7,Oakland Athletics,0.246,0.323,1976
7,8,St. Louis Cardinals,0.26,0.323,1976
8,9,Houston Astros,0.256,0.322,1976
9,10,Cleveland Indians,0.263,0.321,1976
10,11,Texas Rangers,0.25,0.321,1976
11,12,Pittsburgh Pirates,0.267,0.321,1976
12,13,Atlanta Braves,0.245,0.32,1976
13,14,New York Mets,0.246,0.319,1976
14,15,Detroit Tigers,0.257,0.315,1976
15,16,Chicago White Sox,0.255,0.314,1976
16,17,Chicago Cubs,0.251,0.313,1976
17,18,Los Angeles Dodgers,0.251,0.313,1976
18,19,San Francisco Giants,0.246,0.312,1976
19,20,Milwaukee Brewers,0.246,0.311,1976
20,21,San Diego Padres,0.247,0.31,1976
21,22,Baltimore Orioles,0.243,0.31,1976
22,23,California Angels,0.235,0.306,1976
23,24,Montreal Expos,0.235,0.291,1976
0,1,Minnesota Twins,0.282,0.348,1977
1,2,Philadelphia Phillies,0.279,0.346,1977
2,3,Boston Red Sox,0.281,0.345,1977
3,4,Cincinnati Reds,0.274,0.345,1977
4,5,New York Yankees,0.281,0.344,1977
5,6,Chicago White Sox,0.278,0.344,1977
6,7,Texas Rangers,0.27,0.342,1977
7,8,Kansas City Royals,0.277,0.34,1977
8,9,Los Angeles Dodgers,0.266,0.336,1977
9,10,Cleveland Indians,0.269,0.334,1977
10,11,Pittsburgh Pirates,0.274,0.331,1977
11,12,St. Louis Cardinals,0.27,0.33,1977
12,13,Chicago Cubs,0.266,0.33,1977
13,14,Baltimore Orioles,0.261,0.329,1977
14,15,California Angels,0.255,0.324,1977
15,16,San Diego Padres,0.249,0.324,1977
16,17,San Francisco Giants,0.253,0.323,1977
17,18,Houston Astros,0.254,0.32,1977
18,19,Atlanta Braves,0.254,0.32,1977
19,20,Detroit Tigers,0.264,0.318,1977
20,21,Montreal Expos,0.26,0.318,1977
21,22,Toronto Blue Jays,0.252,0.316,1977
22,23,Milwaukee Brewers,0.258,0.314,1977
23,24,New York Mets,0.244,0.313,1977
24,25,Seattle Mariners,0.256,0.312,1977
25,26,Oakland Athletics,0.24,0.308,1977
0,1,Minnesota Twins,0.267,0.339,1978
1,2,Milwaukee Brewers,0.276,0.339,1978
2,3,Detroit Tigers,0.271,0.339,1978
3,4,Los Angeles Dodgers,0.264,0.338,1978
4,5,Boston Red Sox,0.267,0.336,1978
5,6,Cincinnati Reds,0.256,0.334,1978
6,7,Texas Rangers,0.253,0.332,1978
7,8,Chicago Cubs,0.264,0.331,1978
8,9,California Angels,0.259,0.33,1978
9,10,New York Yankees,0.267,0.329,1978
10,11,Kansas City Royals,0.268,0.329,1978
11,12,Philadelphia Phillies,0.258,0.328,1978
12,13,Baltimore Orioles,0.258,0.326,1978
13,14,Cleveland Indians,0.261,0.323,1978
14,15,San Diego Padres,0.252,0.321,1978
15,16,Pittsburgh Pirates,0.257,0.32,1978
16,17,San Francisco Giants,0.248,0.318,1978
17,18,Chicago White Sox,0.264,0.317,1978
18,19,Atlanta Braves,0.244,0.315,1978
19,20,New York Mets,0.245,0.314,1978
20,21,Seattle Mariners,0.248,0.314,1978
21,22,Houston Astros,0.258,0.313,1978
22,23,Toronto Blue Jays,0.25,0.308,1978
23,24,Montreal Expos,0.254,0.306,1978
24,25,Oakland Athletics,0.245,0.303,1978
25,26,St. Louis Cardinals,0.249,0.303,1978
0,1,California Angels,0.282,0.351,1979
1,2,Milwaukee Brewers,0.28,0.345,1979
2,3,Boston Red Sox,0.283,0.344,1979
3,4,Kansas City Royals,0.282,0.343,1979
4,5,Minnesota Twins,0.278,0.341,1979
5,6,Cleveland Indians,0.258,0.34,1979
6,7,Philadelphia Phillies,0.266,0.34,1979
7,8,Detroit Tigers,0.269,0.339,1979
8,9,Cincinnati Reds,0.264,0.338,1979
9,10,Baltimore Orioles,0.261,0.336,1979
10,11,Texas Rangers,0.278,0.334,1979
11,12,Chicago White Sox,0.275,0.333,1979
12,13,Los Angeles Dodgers,0.263,0.331,1979
13,14,St. Louis Cardinals,0.278,0.331,1979
14,15,Seattle Mariners,0.269,0.331,1979
15,16,Pittsburgh Pirates,0.272,0.33,1979
16,17,Chicago Cubs,0.269,0.329,1979
17,18,New York Yankees,0.266,0.328,1979
18,19,Montreal Expos,0.264,0.319,1979
19,20,San Francisco Giants,0.246,0.319,1979
20,21,Atlanta Braves,0.256,0.318,1979
21,22,Houston Astros,0.256,0.315,1979
22,23,New York Mets,0.25,0.313,1979
23,24,San Diego Padres,0.242,0.311,1979
24,25,Toronto Blue Jays,0.251,0.311,1979
25,26,Oakland Athletics,0.239,0.302,1979
0,1,Cleveland Indians,0.277,0.35,1980
1,2,Detroit Tigers,0.273,0.348,1980
2,3,Kansas City Royals,0.286,0.345,1980
3,4,New York Yankees,0.267,0.343,1980
4,5,Baltimore Orioles,0.273,0.342,1980
5,6,Boston Red Sox,0.283,0.34,1980
6,7,Texas Rangers,0.284,0.339,1980
7,8,California Angels,0.265,0.332,1980
8,9,Milwaukee Brewers,0.275,0.329,1980
9,10,St. Louis Cardinals,0.275,0.328,1980
10,11,Cincinnati Reds,0.262,0.327,1980
11,12,Philadelphia Phillies,0.27,0.327,1980
12,13,Houston Astros,0.261,0.326,1980
13,14,Montreal Expos,0.257,0.324,1980
14,15,San Diego Padres,0.255,0.324,1980
15,16,Los Angeles Dodgers,0.263,0.323,1980
16,17,Pittsburgh Pirates,0.266,0.322,1980
17,18,Oakland Athletics,0.259,0.322,1980
18,19,New York Mets,0.257,0.319,1980
19,20,Minnesota Twins,0.265,0.319,1980
20,21,Chicago White Sox,0.259,0.311,1980
21,22,Chicago Cubs,0.251,0.309,1980
22,23,Toronto Blue Jays,0.251,0.309,1980
23,24,Seattle Mariners,0.248,0.308,1980
24,25,San Francisco Giants,0.244,0.308,1980
25,26,Atlanta Braves,0.25,0.307,1980
0,1,Philadelphia Phillies,0.273,0.341,1981
1,2,Boston Red Sox,0.275,0.34,1981
2,3,St. Louis Cardinals,0.265,0.336,1981
3,4,Chicago White Sox,0.272,0.335,1981
4,5,Cincinnati Reds,0.267,0.335,1981
5,6,Detroit Tigers,0.256,0.331,1981
6,7,California Angels,0.256,0.33,1981
7,8,Baltimore Orioles,0.251,0.329,1981
8,9,Cleveland Indians,0.263,0.327,1981
9,10,Texas Rangers,0.27,0.326,1981
10,11,New York Yankees,0.252,0.325,1981
11,12,Kansas City Royals,0.267,0.325,1981
12,13,Los Angeles Dodgers,0.262,0.323,1981
13,14,San Francisco Giants,0.25,0.32,1981
14,15,Houston Astros,0.257,0.318,1981
15,16,Montreal Expos,0.246,0.316,1981
16,17,Seattle Mariners,0.251,0.314,1981
17,18,Milwaukee Brewers,0.257,0.313,1981
18,19,San Diego Padres,0.256,0.313,1981
19,20,Oakland Athletics,0.247,0.312,1981
20,21,Pittsburgh Pirates,0.257,0.311,1981
21,22,New York Mets,0.248,0.308,1981
22,23,Atlanta Braves,0.243,0.306,1981
23,24,Chicago Cubs,0.236,0.303,1981
24,25,Minnesota Twins,0.24,0.293,1981
25,26,Toronto Blue Jays,0.226,0.286,1981
0,1,California Angels,0.274,0.347,1982
1,2,Cleveland Indians,0.262,0.341,1982
2,3,Baltimore Orioles,0.266,0.341,1982
3,4,Boston Red Sox,0.274,0.34,1982
4,5,Chicago White Sox,0.273,0.337,1982
5,6,Kansas City Royals,0.285,0.337,1982
6,7,Milwaukee Brewers,0.279,0.335,1982
7,8,St. Louis Cardinals,0.264,0.334,1982
8,9,New York Yankees,0.256,0.328,1982
9,10,San Francisco Giants,0.253,0.327,1982
10,11,Los Angeles Dodgers,0.264,0.327,1982
11,12,Pittsburgh Pirates,0.273,0.327,1982
12,13,Atlanta Braves,0.256,0.325,1982
13,14,Montreal Expos,0.262,0.325,1982
14,15,Detroit Tigers,0.266,0.324,1982
15,16,Philadelphia Phillies,0.26,0.323,1982
16,17,Chicago Cubs,0.26,0.317,1982
17,18,Minnesota Twins,0.257,0.316,1982
18,19,Toronto Blue Jays,0.262,0.314,1982
19,20,Seattle Mariners,0.254,0.311,1982
20,21,San Diego Padres,0.257,0.311,1982
21,22,Cincinnati Reds,0.251,0.31,1982
22,23,Oakland Athletics,0.236,0.309,1982
23,24,Texas Rangers,0.249,0.308,1982
24,25,New York Mets,0.247,0.305,1982
25,26,Houston Astros,0.247,0.302,1982
0,1,Atlanta Braves,0.272,0.341,1983
1,2,Baltimore Orioles,0.269,0.34,1983
2,3,Toronto Blue Jays,0.277,0.338,1983
3,4,Cleveland Indians,0.265,0.338,1983
4,5,New York Yankees,0.273,0.337,1983
5,6,Detroit Tigers,0.274,0.335,1983
6,7,Boston Red Sox,0.27,0.335,1983
7,8,St. Louis Cardinals,0.27,0.335,1983
8,9,Milwaukee Brewers,0.277,0.333,1983
9,10,Chicago White Sox,0.262,0.329,1983
10,11,Philadelphia Phillies,0.249,0.329,1983
11,12,Montreal Expos,0.264,0.326,1983
12,13,Oakland Athletics,0.262,0.326,1983
13,14,San Francisco Giants,0.247,0.325,1983
14,15,Pittsburgh Pirates,0.264,0.325,1983
15,16,California Angels,0.26,0.322,1983
16,17,Kansas City Royals,0.271,0.32,1983
17,18,Houston Astros,0.257,0.32,1983
18,19,Chicago Cubs,0.261,0.319,1983
19,20,Minnesota Twins,0.261,0.319,1983
20,21,Los Angeles Dodgers,0.25,0.318,1983
21,22,Cincinnati Reds,0.239,0.314,1983
22,23,San Diego Padres,0.25,0.311,1983
23,24,Texas Rangers,0.255,0.31,1983
24,25,Seattle Mariners,0.24,0.301,1983
25,26,New York Mets,0.241,0.3,1983
0,1,Detroit Tigers,0.271,0.342,1984
1,2,Boston Red Sox,0.283,0.341,1984
2,3,New York Yankees,0.276,0.339,1984
3,4,Cleveland Indians,0.265,0.335,1984
4,5,Philadelphia Phillies,0.266,0.333,1984
5,6,Toronto Blue Jays,0.273,0.331,1984
6,7,Chicago Cubs,0.26,0.331,1984
7,8,Baltimore Orioles,0.252,0.328,1984
8,9,San Francisco Giants,0.265,0.328,1984
9,10,Oakland Athletics,0.259,0.327,1984
10,11,Seattle Mariners,0.258,0.324,1984
11,12,Houston Astros,0.264,0.323,1984
12,13,New York Mets,0.257,0.32,1984
13,14,California Angels,0.249,0.319,1984
14,15,Minnesota Twins,0.265,0.318,1984
15,16,Kansas City Royals,0.268,0.317,1984
16,17,San Diego Padres,0.259,0.317,1984
17,18,St. Louis Cardinals,0.252,0.317,1984
18,19,Atlanta Braves,0.247,0.317,1984
19,20,Milwaukee Brewers,0.262,0.317,1984
20,21,Chicago White Sox,0.247,0.314,1984
21,22,Cincinnati Reds,0.244,0.313,1984
22,23,Texas Rangers,0.261,0.313,1984
23,24,Montreal Expos,0.251,0.312,1984
24,25,Pittsburgh Pirates,0.255,0.31,1984
25,26,Los Angeles Dodgers,0.244,0.306,1984
0,1,Boston Red Sox,0.282,0.347,1985
1,2,New York Yankees,0.267,0.344,1985
2,3,Baltimore Orioles,0.263,0.336,1985
3,4,St. Louis Cardinals,0.264,0.335,1985
4,5,California Angels,0.251,0.333,1985
5,6,Toronto Blue Jays,0.269,0.331,1985
6,7,Los Angeles Dodgers,0.261,0.328,1985
7,8,Cincinnati Reds,0.255,0.327,1985
8,9,Minnesota Twins,0.264,0.326,1985
9,10,Seattle Mariners,0.255,0.326,1985
10,11,Oakland Athletics,0.264,0.325,1985
11,12,Cleveland Indians,0.265,0.324,1985
12,13,Chicago Cubs,0.254,0.324,1985
13,14,New York Mets,0.257,0.323,1985
14,15,Texas Rangers,0.253,0.322,1985
15,16,San Diego Padres,0.255,0.32,1985
16,17,Houston Astros,0.261,0.319,1985
17,18,Milwaukee Brewers,0.263,0.319,1985
18,19,Detroit Tigers,0.253,0.318,1985
19,20,Chicago White Sox,0.253,0.315,1985
20,21,Atlanta Braves,0.246,0.315,1985
21,22,Kansas City Royals,0.252,0.313,1985
22,23,Philadelphia Phillies,0.245,0.312,1985
23,24,Pittsburgh Pirates,0.247,0.311,1985
24,25,Montreal Expos,0.247,0.31,1985
25,26,San Francisco Giants,0.233,0.299,1985
0,1,New York Yankees,0.271,0.347,1986
1,2,Boston Red Sox,0.271,0.346,1986
2,3,New York Mets,0.263,0.339,1986
3,4,Detroit Tigers,0.263,0.338,1986
4,5,California Angels,0.255,0.338,1986
5,6,Cleveland Indians,0.284,0.337,1986
6,7,Texas Rangers,0.267,0.331,1986
7,8,Toronto Blue Jays,0.269,0.329,1986
8,9,Baltimore Orioles,0.258,0.327,1986
9,10,Philadelphia Phillies,0.253,0.327,1986
10,11,Seattle Mariners,0.253,0.326,1986
11,12,Minnesota Twins,0.261,0.325,1986
12,13,Cincinnati Reds,0.254,0.325,1986
13,14,Houston Astros,0.255,0.322,1986
14,15,Montreal Expos,0.254,0.322,1986
15,16,San Francisco Giants,0.253,0.322,1986
16,17,Oakland Athletics,0.252,0.322,1986
17,18,San Diego Padres,0.261,0.321,1986
18,19,Milwaukee Brewers,0.255,0.321,1986
19,20,Pittsburgh Pirates,0.25,0.321,1986
20,21,Atlanta Braves,0.25,0.319,1986
21,22,Chicago Cubs,0.256,0.318,1986
22,23,Kansas City Royals,0.252,0.313,1986
23,24,Los Angeles Dodgers,0.251,0.313,1986
24,25,Chicago White Sox,0.247,0.31,1986
25,26,St. Louis Cardinals,0.236,0.309,1986
0,1,Boston Red Sox,0.278,0.352,1987
1,2,Detroit Tigers,0.272,0.349,1987
2,3,Milwaukee Brewers,0.276,0.346,1987
3,4,St. Louis Cardinals,0.263,0.34,1987
4,5,New York Mets,0.268,0.339,1987
